Sentence,Toxicity Level,Tone,Language,Implied Sentiment,Keyword Vector,K_means_cluster
Yo de periodista hacia rato lo habría mandado para la mierda hace rato,High,Aggressive,Confrontational and Insulting,Hostile,"(1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",2
Mi culo se mueve solo,Low,Humorous,Colloquial,Neutral,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",1
"Yo pensaba que Cam4 era un restaurante, ahora entiendo todo, maldita sea.",Medium,Irritated,Frustrated,Displeasure,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",0
La Corte y nada la misma huevonada,Medium,Frustrated,Informal and Insulting,Disdainful,"(1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",0
"pero cerra el orto, que te pensas que los mato yo a los animales, o que los matan por diversión?",High,Aggressive,Insulting and Confrontational,Defensive and Hostile,"(1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0)",2
me apetece dormir en un hotel con alguien y por la mañana pornernos hasta el culo de comida,Low,Casual,Informal,Positive,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1)",1
- ¿Estarías con un chico con coño?,High,Provocative,Vulgar and Offensive,Disrespectful,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0)",0
Me he sobao y me he perdido el ridículo del Valencia,Low,Casual,Informal,Slightly Negative,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0)",1
Aparece cuando quiere la yeguaaa,Medium,Derogatory,Disparaging,Disrespectful,"(0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",1
Que puta... como se nota que mario ferreiro está sin laburo.... cortenle el tw,High,Derogatory,Offensive and Disrespectful,Disparaging,"(0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",1
"Good, mute him AMARGADOS DE MIERDA, es un puto genio.",High,Aggressive,Confrontational and Insulting,Hostile,"(1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",2
soy una puta gorda y solo quiero ir a las cenas/comidas de Navidad para comer y engordar 14kg,High,Self-deprecating,Vulgar and Offensive,Negative,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0)",0
Definitivamente para ir a mall o andar por Santiago hay que tener un water del año 90 y bien oxidada.,Medium,Sarcastic,Casual and Derogatory,Critical,"(0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0)",1
"los mas valientes, los mejores, los mas preparados vienen a pagarnos las pensiones daga en mano",Medium,Sarcastic,Cynical and Hostile,Unwelcoming,"(0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",1
soy una sensiblona x muchos cojones q tenga,Medium,Self-deprecating,Vulgar,Negative,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0)",0
Pollo de mi vida haceme pollitos la puta madre!!!,Medium,Aggressive,Vulgar and Insistent,Demanding,"(0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0)",0
Hoy día la ley de memoria histórica considera a esta víctima del Frente Popular un golpista.,Medium,Accusatory,Formal,Critical,"(0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",1
esaes dadme mi sobre de 125 cabrones xddddd,High,Sarcastic,Insulting,Hostile,"(1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",2
"Que gente idiota la que sigue saliendo a la calle dios, no se quieren ni un poquito",High,Judgmental,Insulting and Disparaging,Hostile,"(1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",2
¿Y quién cojones es ese?.,Medium,Aggressive,Vulgar,Disrespectful,"(0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0)",0
A nadie puta le importa quien carajos muere por un dragon.,High,Dismissive,Vulgar and Insulting,Indifferent,"(1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0)",0
Por eso lo siguen los maricas,High,Disparaging,Derogatory,Contemptuous,"(0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",1
Vamos a tirarle el vídeo al gilipollas este 1.,High,Aggressive,Confrontational and Insulting,Hostile,"(1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",2
Si fuera de La Pincoya se estarían pidiendo las penas del infierno y juzgando a todos.,Medium,Critical,Accusatory,Resentful,"(0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",1
"Con esas demandas, le toy creyendo al innombrable eso de que no tiene 'ni un fkn real'.",Medium,Skeptical,Informal and Disparaging,Distrustful,"(0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",1
Que mierda no poder soltar una persona a pesar de todo lo que te hizo.,Medium,Frustrated,Informal and Vulgar,Negative,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0)",0
man soy r autoexigente q hincha pelotas,Medium,Frustrated,Colloquial and Vulgar,Negative,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0)",0
Estoy hasta los cojones de vivir sintiendo que soy una basura como para que aún encima me lo recuerden constantemente,Medium,Frustrated,Profane and Self-Deprecating,Resentful,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0)",0
"Girón, monumento nacional (al tapón tan hijueputa que se forma desde el Palenque hasta Caneyes) a esta hora.",Medium,Frustrated,Vulgar,Annoyed,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0)",0
Uribe tiene huevas de plomo y nadie le da la talla.,Medium,Praising with an aggressive undertone,Colloquial and Bold,Admirational with a hint of Defiance,"(0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",1
JAJAJAJA te amo histérica de mierda,Medium,Mocking,Insulting,Derogatory Affection,"(1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",2
yo quiero hacer una paja a mano cambiada contigo ( live on ),High,Sexually Explicit,Vulgar and Inappropriate,Sexual Harassment,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0)",0
- ¡Ya cállate pinche Pedro!,High,Aggressive,Confrontational and Insulting,Hostile,"(1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",2
La avispa es la cabreada que no come para no engordar.,Medium,Sarcastic,Colloquial and Insulting,Derisive,"(1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",2
"Así luego entran en patera, dan otro nombre, y tienen otra paguita",High,Dismissive and Prejudiced,Derogatory and Stereotypical,Hostile and Discriminatory,"(0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",1
Que no lo sigo y se quien coño son todos.,Medium,Frustrated,Informal and Offensive,Annoyed,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",0
"yo sabía que algun pelotudo/a iba a comentar esto jajaaj, deggggggame en paaaaaaassssssssssss (sartenaso)",Medium,Sarcastic and dismissive,Confrontational and insulting,Hostile,"(1, 1, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",2
quiero follar y dormirme abrazao,High,Crude,Vulgar and Inappropriate,Offensive,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0)",0
Joder que partidazo de los Wolves en Anfield.,Low,Excited,Informal,Positive,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1)",1
DE RAZON ESTE PAIS VA DE CULO PARA EL ESTANCO CON ESTOS PETARDOS.,High,Derogatory,Offensive,Contemptuous,"(0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",1
dios me siento para la mierda puede alguien de stray kids aparecer porfa😞,Low,Desperate,Informal,Melancholic,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",1
Ya vi a Vicent Janssen haciéndosela de pedo al Chupete Suazo por quien es el número 1.,Medium,Confrontational,Colloquial and Aggressive,Adversarial,"(0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",2
Un poco guarrilla y con ganas de llamar la atención de forma desmesurada.,Medium,Derogatory,Disparaging and Judgmental,Disapproving,"(0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",1
"No entiendo la gracia de este programa, están en bolas recorriendo una selva con un montón de animales venenosos",Low,Dismissive,Casual and Dismissive,Negative,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0)",1
yo digo que toca hacer un getsito en el hospe y descabronarloo🍻,Medium,Aggressive,Informal and Insulting,Confrontational,"(1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",2
El muro de la infamia o El muro de los tetrahijueputas.,High,Derogatory,Insulting and Offensive,Disdainful,"(1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",2
Oye que mierdas le pasa a Alba en las galas :(((?!?!?!,Medium,Aggressive,Offensive,Negative,"(0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",1
La gente es tan cabrona a veces,Medium,Frustrated,Informal and Insulting,Negative,"(1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",0
Te hablé puta de mierda,High,Aggressive,Confrontational and Insulting,Hostile,"(1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",2
El facha pastrana no tiene ni amigos. Pobret.,High,Mocking,Derogatory and Insulting,Contemptuous,"(1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",2
"Que no es abidal joder, que es Bartomeu, abidal es solo un peon mas.",Medium,Frustrated,Informal and Disrespectful,Critical,"(0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",0
Se me fue el sueño a la mierda,Low,Frustrated,Casual and Vulgar,Negative,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0)",0
Que puta hacia el final el mismo le pasaba a los de mineiro jajajaj,Medium,Mocking,Vulgar and Insulting,Derisive,"(1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0)",0
Malditos de Nintendo y su manía de no rebajar nada juegos que tienen años ya,Medium,Frustrated,Accusatory and Derogatory,Angry,"(0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0)",0
soy la única a la que no le hace gracia esta mierda??,Medium,Frustrated,Vulgar,Annoyance,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0)",0
Porque hay mucho tarado en está red.,Medium,Critical,Insulting,Negative,"(1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",1
Jajajajaja que gorda lechera hasta cuando con esos videos,High,Mocking,Derogatory and Insulting,Disrespectful,"(1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",2
En verdad es irme a la chucha de chile jiji,Medium,Dismissive,Informal and Vulgar,Negative,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0)",0
QUE LINDO SER DE ROWING LA PUTA MADREE🔵⚪️♥️ #qlsr,Medium,Excited,Informal and Vulgar,Pride and Intense Emotion,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0)",0
"Vieran que feo se siente, el andar sufriendo por un mal de amooooor",Low,Melancholic,Emotional,Sadness,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",1
feliz porque hoy se come mantecol hasta empalagarse,Low,Joyful,Friendly,Positive,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1)",1
"SOS UN HIJO DE PUTA, no tenes sentimientos",High,Aggressive,Insulting,Hostile,"(1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",2
"Esto hace falta en Paraguay, no la cantaleta amariconada de DDHH de muchos políticos.",High,Derisive and Disparaging,Offensive and Derogatory,Contemptuous,"(0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",1
Hacer daño a un ser vivo debería estar penado joder.,Medium,Assertive,Colloquial and Strong,Critical,"(0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",1
te ha faltado lo de: 'la culpa es de los padres que las visten como putas'.,High,Accusatory,Blameful and Derogatory,Judgmental,"(0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",1
Xq no me contestabas maldita,High,Aggressive,Insulting,Angry,"(1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0)",2
me voy a secar el pelo asi me lo plancho auq me de re mil paja,Low,Informal,Colloquial,Neutral,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",1
Te acordas que existo pendejo de mierda 😡,High,Aggressive,Insulting and Confrontational,Hostile,"(1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",2
"Haber sí así aprenden de historia los cagones, y dejan de alabar a las Farc",High,Condemning,Aggressive and Vulgar,Hostile,"(0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0)",0
Toy tan en la mía que si me vienen a joder me les río,Medium,Defensive,Confrontational,Defiant,"(0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0)",1
"Porque hay alerta roja, subnormal!!!! Este tío es tonto, JODER!",High,Aggressive,Confrontational and Insulting,Hostile,"(1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",2
Algo más ridículo que andar contando con quien te hablas?,Medium,Sarcastic,Mocking,Dismissive,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",1
Pobre hijueputa mala agradecida quiere todo para ella gratis y los demás departamentos que se jodan,High,Aggressive and Insulting,Confrontational and Offensive,Hostile,"(1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",2
No quiero follar contigo porque me da igual lo que me lo digas.,High,Dismissive,Rude and Disrespectful,Contemptuous,"(0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",1
Se me cae un huevo encarar a la práctica 😩,Low,Frustrated,Colloquial,Discouraged,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",0
Terminaré borrando todo y me iré bien a la chucha.,Medium,Frustrated,Informal and Vulgar,Discontent,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0)",0
Para que echan pirotecnia 🎇🙄 si no hay nada 😒 solo despertaron a Mia 😡 stuuupidossssssss Solo tirar dinero💸,High,Frustrated,Insulting and Disparaging,Angry,"(1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0)",0
Pq chucha me despierto a esta horaaaa,Medium,Frustrated,Vulgar,Annoyed,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0)",0
"Los mejores, los más valientes y más preparados",Low,Encouraging,Positive and Supportive,Admiring,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1)",1
q paja ni tengo ganas d salir mañana,Low,Informal,Casual and Slang,Unenthusiastic,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0)",1
"Si te dan manzanas y huevos y te piden que hagas un gazpacho, como cojones pretendes hacerlo?",Medium,Frustrated,Vulgar,Annoyed,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0)",0
"Como un pico flacido, malo malisimo",Medium,Dismissive,Critical and Insulting,Negative,"(1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",1
Por qué les tienen tanta bronca a los q fueron mantenidos y no los mandaron a laburar?,Medium,Accusatory,Casual and Disparaging,Critical,"(0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0)",1
